id,title,is_paid,price,headline,num_subscribers,avg_rating,num_reviews,num_comments,num_lectures,content_length_min,published_time,last_update_date,category,subcategory,topic,language,course_url,instructor_name,instructor_url
4219334.0,Marketplace Hack Shopee Strategi Optimasi Toko Online,True,279.0,strategi yang tepat untuk mendatangkan traffic tertarget untuk  toko baru secara organic dan paid,17.0,4.6,5.0,1.0,11.0,120.0,2021-08-12T19:04:34Z,2021-08-12,Marketing,Digital Marketing,E-Commerce,Indonesian,/course/marketplace-hack-strategi-optimasi-marketplace-shopee/,Sasana Digital,/user/sasana-solusi-digital/
4219244.0,Measuring Cost Risk Using Monte Carlo Simulation,True,24.99,"Fundamentals, Applications, VBA Codes, Excel workbook, ASTM E",56.0,4.571429,7.0,1.0,19.0,200.0,2021-08-04T21:42:38Z,2021-08-03,Teaching & Academics,Engineering,Project Risk Management,English,/course/measuring-cost-risk-using-monte-carlo-simulation/,Martial M.,/user/martial-47/
4219304.0,Learn Modern JavaScript in 2022 from Scratch,True,19.99,"Learn Modern JavaScript from beginning. Master fundamentals with Javascript exercises, projects, live examples & more",16533.0,4.7352943,149.0,30.0,112.0,514.0,2021-09-01T09:35:02Z,2022-03-24,Development,Web Development,JavaScript,English,/course/modern-javascript-course-web-development/,Data Is Good Academy,/user/data-is-good-2/
4219282.0,Master Class on Salesmanship and Relationship Management,True,19.99,"Learn Sales Process, Relationship Marketing, Case Study and Assessment",1005.0,4.5,1.0,0.0,18.0,133.0,2022-03-01T19:35:05Z,2022-02-28,Business,Sales,Sales Management,English,/course/master-class-on-salesmanship-and-relationship-management/,Human and Emotion: CHRMI,/user/human-and-emotion/
4219360.0,Amazon Web Services (AWS)  - Master Amazon Cloud Platform,True,19.99,"Become an AWS Certified Developer! Learn all Amazon Web Services. Cloud Computing, AWS, EC2, S3, Elastic Beanstalk, etc",20454.0,4.071429,242.0,44.0,125.0,904.0,2021-10-08T16:01:45Z,2022-03-24,IT & Software,Other IT & Software,Amazon AWS,English,/course/amazon-web-services-aws-cloud/,Data Is Good Academy,/user/data-is-good-2/
4219166.0,Wizard World vs. Star Wars: Common Literary Themes,True,19.99,Explore literary themes found in both Star Wars and the popular British wizard books.,159.0,5.0,1.0,0.0,5.0,54.0,2021-08-10T03:50:02Z,2021-08-09,Teaching & Academics,Humanities,English Literature,English,/course/wizard-world-vs-star-wars-common-literary-themes/,Lauren Ard,/user/lauren-ard-4/
4219346.0,Edição de Sucesso - Lucre editando vídeos de casamento,True,84.9,Aprenda a editar vídeos de Casamento e se destaque no mercado audiovisual,2.0,5.0,1.0,1.0,113.0,1065.0,2021-08-18T16:30:51Z,2021-08-09,Photography & Video,Video Design,Video Editing,Portuguese,/course/edicao-de-sucesso-edicao-de-video-para-casamentos/,Adriano Alves Rolim,/user/adriano-alves-rolim/
4219374.0,Curso de Pilates para principiantes,True,19.99,Programa de pilates Zero para principiantes,0.0,0.0,0.0,0.0,14.0,230.0,2021-08-04T15:20:26Z,2021-08-02,Health & Fitness,General Health,Pilates,Spanish,/course/curso-de-pilates-para-principiantes/,Jose Antonio Almagro Lechuga,/user/jose-antonio-almagro-lechuga/
4219358.0,제품 하나로 쉽게 부업 시작하는 법,True,89.0,온라인 판매 시장을 통해 제품 판매를 시작하기 전 필요한 기초 지식을 쉽게 알려드립니다.,42.0,4.607143,21.0,6.0,5.0,43.0,2021-08-26T18:15:29Z,2021-08-03,Marketing,Public Relations,Marketing Strategy,Korean,/course/commerceroowa/,인휘 김,/user/keomeoseuruwa/
4219456.0,Super Affiliate Secrets (সুপার অ্যাফিলিয়েট সিক্রেটস) Course,True,1.0,এই সর্বপ্রথম বাংলা ভাষায় অ্যাফিলিয়েট মার্কেটিং-এর World-Class অনলাইন কোর্স,394.0,5.0,3.0,2.0,36.0,420.0,2021-08-10T12:27:17Z,2021-09-18,Marketing,Affiliate Marketing,Affiliate Marketing,Bengali,/course/superaffiliatesecretscourseinthebengalilanguage/,Arup Singha,/user/arup-singha-8/
