id,title,is_paid,price,headline,num_subscribers,avg_rating,num_reviews,num_comments,num_lectures,content_length_min,published_time,last_update_date,category,subcategory,topic,language,course_url,instructor_name,instructor_url
4336530.0,تعلمي أسس ومهارات التربية الحديثة,True,199.9,نوقف النزاعات في البيت، نحسّن العلاقة مع الابناء، ونحوّل الصراعات الى حوار فعّال,27.0,4.95,10.0,5.0,12.0,83.0,2021-11-03T11:39:17Z,2022-05-06,Personal Development,Parenting & Relationships,Parenting,Arabic,/course/learn-effective-positive-parenting/,Reem Morany,/user/reem-morany/
4336406.0,Move Ahead in Mathematics,True,1.0,"Make Algebra, Arithmetic, Coordinate Geometry, Statistics and Probability Your Own at Class 9 Level",2.0,0.0,0.0,0.0,93.0,1790.0,2022-01-09T01:01:46Z,2022-06-02,Teaching & Academics,Math,Math,English,/course/move-ahead-in-mathematics/,Extreme Learners,/user/extremelearners/
4336388.0,Distributeur automatique de colis,True,119.99,testeur de produit,2.0,0.0,0.0,0.0,27.0,121.0,2021-11-08T15:17:26Z,2021-10-27,Business,Sales,Product Flipping,French,/course/distributeur-automatique-de-colis/,Benjamin Renucci,/user/benjamin-renucci/
4336516.0,KhetiBuddy's Vegetable Gardening Workshop (in Hindi),True,1.0,Learn to Grow Your Veggies Your Way,9.0,5.0,2.0,1.0,10.0,73.0,2021-10-17T15:08:56Z,2021-10-06,Lifestyle,Home Improvement & Gardening,Gardening,Hindi,/course/khetibuddys-vegetable-gardening-workshop-in-hindi/,KhetiBuddy Home,/user/khetibuddy-home/
4336508.0,Revit Structure For Beginners In Hindi [Crash Course],False,0.0,Revit Structure For Beginners In Hindi [Crash Course] using structure data,601.0,4.45,18.0,3.0,5.0,94.0,2021-10-06T17:28:17Z,2021-10-06,Design,Architectural Design,Revit,Hindi,/course/revit-structure-for-beginners-in-hindi-crash-course/,Pradeep Gouda,/user/pradeep-gouda-2/
4336560.0,Swift ile Uygulama Geliştirme,True,329.99,"Swift programlama dilini baştan sona keşfedin, iOS geliştiricisi olma yolundaki ilk ve en güçlü adımınızı atın.",311.0,4.7413793,68.0,19.0,44.0,2310.0,2021-10-10T17:47:07Z,2022-01-13,Development,Mobile Development,iOS Development,Turkish,/course/swift-ile-uygulama-gelistirme/,Emirhan Erdoğan,/user/emirhan-erdogan-9/
4336464.0,NCERT Class 8 Mathematics ( Part - 3 ),True,1.0,NCERT Class 8 Math,59.0,0.0,0.0,0.0,19.0,403.0,2021-10-06T17:29:54Z,2021-11-09,Teaching & Academics,Math,NCERT and CBSE,Hindi,/course/ncert-class-8-mathematics/,Prince Saini,/user/prince-saini-21/
4336326.0,Mendesain Website dari Nol sampai Tuntas dengan Angular,True,279.0,"Developing Website dengan Angular, Material, dan Teknik Dasar Coding yang Bisa Diikuti Semua Level Programmer",12.0,4.3333335,6.0,2.0,31.0,177.0,2021-10-18T23:11:50Z,2021-10-24,Development,Web Development,Angular,Indonesian,/course/belajar-sendiri-pemrograman-angular-dari-nol/,Jubilee Enterprise,/user/gregorius-agung/
4336572.0,【無料】手っ取り早く学びたい初心者のためのAdobe Photoshopスピード講座【FREE】,False,0.0,フォトショップの基本的な使い方について学びます。画像合成や不要な物体の消し込み方も即座に学べる講座です。,385.0,4.5,26.0,6.0,18.0,72.0,2021-10-11T09:15:28Z,2022-09-30,Photography & Video,Photography,Photoshop,Japanese,/course/adobe-photoshop-o/,Katsuhiko Mikami,/user/mikamikatsuhiko/
4336568.0,"Das Python Bootcamp - Grundlagen, Flask APIs und PostgreSQL",True,179.99,"Dieser Kurs bringt dir Python in kürzester Zeit bei - Mit Flask, Matplotlib, PostgreSQL und JWT für Webentwicklung",507.0,4.3863635,110.0,32.0,103.0,631.0,2021-10-21T12:18:36Z,2022-06-08,Development,Programming Languages,Python,German,/course/das-komplette-python-bootcamp/,Jannick Leismann,/user/janik-eismann/
4336556.0,Learn Prolog Programming From Zero to Hero,True,199.99,This Prolog For Beginners Course Teaches You The Prolog Language Fast: From Zero to Hero,385.0,4.4310346,93.0,48.0,31.0,707.0,2021-10-15T02:14:11Z,2022-03-05,Development,Programming Languages,Computer Science,English,/course/learn-prolog-programming-from-zero-to-hero/,Lucas Bazilio,/user/lucas-estevao-bazilio/
4336596.0,انشاء قناة على يوتيوب والربح منها بالهاتف فقط 2022 شرح عملى,True,19.99,تعلم كيفية انشاء قناة يوتيوب من الصفر باحترافية,1140.0,4.6,19.0,6.0,9.0,73.0,2021-10-07T18:33:14Z,2021-10-06,Business,Media,YouTube Marketing,Arabic,/course/create-youtube-channel-from-mobile-2022/,Abdullah Ayman,/user/abdullah-ayman-abdullah-ramadan/
4336330.0,Microsoft AZ-900: Azure Fundamentals Exam Preparation Test,True,19.99,Pass AZ-900 Cloud Certification Exam 110Q Practice Set,20090.0,4.481132,150.0,16.0,0.0,0.0,2021-10-31T17:33:59Z,2021-11-15,IT & Software,IT Certifications,Microsoft Certification,English,/course/az-900-microsoft-azure-fundamentals-exam-preparation-test/,Debajyoti Adhya,/user/debajyoti-adhya/
