id,title,is_paid,price,headline,num_subscribers,avg_rating,num_reviews,num_comments,num_lectures,content_length_min,published_time,last_update_date,category,subcategory,topic,language,course_url,instructor_name,instructor_url
2990382.0,"Curso de Zoom 2022, ¡Desde Cero Hasta Experto!",True,199.99,"Aprende a cómo realizar videoconferencias, dictar clases, hacer chats e impartir webinars de forma fácil y simple.",4513.0,4.55,277.0,105.0,45.0,243.0,2020-04-28T18:19:47Z,2022-08-20,Office Productivity,Other Office Productivity,Video Conferencing,Spanish,/course/curso-de-zoom-desde-cero-hasta-experto/,Renato Jesús Yacolca Neyra,/user/renato-jesus-yacolca-neyra-2/
2990256.0,Electrical Transformers Fundamentals,True,169.99,Learn all about the practical industry knowledge of  Electrical Transformers with this course!,6573.0,3.75,70.0,25.0,26.0,245.0,2020-04-21T19:33:10Z,2020-04-21,Teaching & Academics,Engineering,Electrical Transformers,English,/course/electrical-transformers-fundamentals/,Mike L,/user/mike-l-23/
2990430.0,How To Create Your Own Website,True,24.99,Web Developmemt,1774.0,3.75,11.0,2.0,13.0,61.0,2020-05-09T20:09:52Z,2020-04-21,Development,Web Development,WordPress,English,/course/how-to-create-your-own-website-wordpress/,Salman Khan,/user/salman-khan-790/
2990352.0,Curso Básico/Avanzado Profesional de Javascript,True,379.0,Aprende sobre JavaScript su paradigma y todos los conceptos básicos asi como nuevas carácteristicas que nos ofrece,167.0,4.4,13.0,2.0,57.0,390.0,2020-04-30T13:41:28Z,2020-06-07,IT & Software,IT Certifications,JavaScript,Spanish,/course/curso-basicoavanzado-profesional-de-javascript/,José Armando Olvera Osuna,/user/jose-armando-olvera/
2990538.0,"Best Agile Articles Online Conference - April 6, 2020",False,0.0,6+ hours of content from top agile though leaders,1760.0,4.4,16.0,2.0,7.0,104.0,2020-04-18T17:49:08Z,2020-04-13,Business,Management,Agile,English,/course/best-agile-articles-online-conference-april-6-2020/,"Michael de la Maza, PhD, CEC",/user/michaeldelamaza/
2990626.0,Curso de Escultura y Modelado con porcelana - Desde Cero,True,129.99,Crea con tus propias manos esa figura estilo anime que siempre has deseado siguiendo una sencilla serie de pasos.,28.0,5.0,6.0,2.0,49.0,323.0,2020-11-19T21:53:01Z,2022-08-19,Lifestyle,Arts & Crafts,Sculpting,Spanish,/course/como-hacer-figuras-estilo-anime-con-porcelana-desde-cero/,Brian Ferrara,/user/brian-ferrara-2/
2990476.0,Digital Banking - Masterclass,True,64.99,"A complete introduction into digital banking with 3+ hours of videos, assignments, artifacts and quizzes.",7596.0,4.4431033,2424.0,316.0,22.0,127.0,2020-04-28T15:42:32Z,2022-10-01,Finance & Accounting,Finance,Banking,English,/course/digital-banking-masterclass/,Rian Chapman,/user/rob-2292/
2990444.0,Aprende a interpretar dibujos de Ingeniería modernos,True,19.99,Interpretación de dibujos de ingeniería,42.0,4.0,7.0,4.0,8.0,65.0,2020-09-16T03:42:19Z,2020-04-12,Design,Other Design,Technical Drawing,Spanish,/course/dibujos-de-ingenieria-modernos/,Carlos Eduardo Gonzalez,/user/carlos-eduardo-gonzalez-ramos/
2990488.0,Curso por agentes inmobiliarios sobre el traspaso de negocio,True,19.99,Especial traspasos de hostelería: bares restaurantes y locales de ocio. Para profesionales para la cesión de actividad,2045.0,4.3,18.0,9.0,6.0,93.0,2020-05-01T02:15:14Z,2020-09-20,Business,Real Estate,Real Estate Leads,Spanish,/course/cursosobretraspaso/,Luca Vismara,/user/luca-vismara-4/
2990640.0,Mindfulness Power Blueprint - Mindfulness Through Meditation,True,139.99,Learn Simple but Powerful Meditation Tips to Align Your Conscious Mind with Your Unconscious Mind to Achieve Mindfulness,6805.0,4.2,40.0,14.0,24.0,180.0,2020-04-21T18:58:36Z,2020-04-15,Health & Fitness,Meditation,Mindfulness,English,/course/conscious-unconscious-alignment-7-steps-toward-mindfulness/,พีรัชญาณ์ (Peeratchaya) สุนทรกำจรพานิช (Sunthornkamchanpanit),/user/peeratchaya-sunthornkamchanpanit/
2990480.0,MS PowerPoint Advanced: Fast Track Training,True,19.99,Learn how to master MS PowerPoint Advanced methods quickly and easily for yourself or business,0.0,0.0,0.0,0.0,20.0,62.0,2020-04-19T03:15:17Z,2020-04-12,Office Productivity,Microsoft,PowerPoint,English,/course/ms-powerpoint-advanced-fast-track-training/,Douglas Melvin,/user/douglasmelvin3/
2989898.0,How To Get More Subscribers Using Leadpages,True,19.99,Create Perfect Landing Pages,1.0,0.0,0.0,0.0,20.0,44.0,2021-03-16T21:51:32Z,2021-03-16,Marketing,Digital Marketing,Landing Page Optimization,English,/course/how-to-get-more-subscribers-using-leadpages/,Lindsey Bache,/user/lindsey-bache/
2990368.0,Unwrapping Techniques in 3DS Max,True,24.99,Unwrap like a boss in no time!,88.0,4.15,17.0,7.0,41.0,283.0,2020-06-14T05:01:16Z,2020-08-04,Design,3D & Animation,3ds Max,English,/course/unwrapping-techniques-in-3ds-max/,Really Fun Games Educational,/user/scotthorton3/
