id,title,is_paid,price,headline,num_subscribers,avg_rating,num_reviews,num_comments,num_lectures,content_length_min,published_time,last_update_date,category,subcategory,topic,language,course_url,instructor_name,instructor_url
2375710.0,【はじめてのカリグラフィー】とってもキュートな「西洋の書道」で好感度UP | ときめくMONO作家 JUNOBANE,True,11.0,あなたの「自己紹介・インスタ画像・SNS動画・商品・結婚式・招待状・お花」に添えて好感度UPしてみませんか？カリグラフィーは海外でも人気のあるカルチャーで、NEWYORKで出会ったこの世界観が忘れられいくらいお洒落です。,141.0,4.2,10.0,2.0,42.0,72.0,2019-06-07T17:08:22Z,2020-11-21,Design,Graphic Design & Illustration,Calligraphy,Japanese,/course/obanejun-calligraphy01/,With Fun,/user/yan-ben-dun-mei/
2375702.0,MCSE Hazırlık Kursu|Part 8|İleri Sanallaştırma (A) | 14 Saat,True,529.99,Microsoft Rol Tabanlı Sertifika Programına Hazırlık Kursu Serisi - Vmware Sanallaştırma Tenolojileri,124.0,4.45,12.0,2.0,24.0,743.0,2019-05-21T10:34:09Z,2019-05-20,IT & Software,Operating Systems & Servers,VMware Virtualization,Turkish,/course/mcse-hazrlk-kursu-part-8/,CB Academy,/user/cem-bayraktaroglu/
2375728.0,La ricerca attiva ed efficace del lavoro,True,99.99,Il metodo Job Club,16.0,4.3333335,9.0,1.0,108.0,1042.0,2019-06-13T10:48:44Z,2019-06-10,Personal Development,Personal Transformation,Job Search,Italian,/course/la-ricerca-attiva-ed-efficace-del-lavoro/,Riccardo Maggiolo,/user/riccardo-maggiolo/
2375652.0,How To Make A Social Media Website With WordPress,True,19.99,Do You want to create your own social media website with WordPress? I will show you how with NO EXPERIENCE!,4061.0,3.5,20.0,6.0,9.0,99.0,2019-05-26T20:29:58Z,2019-12-02,Development,Web Development,WordPress,English,/course/how-to-make-a-social-media-website-with-wordpress/,Darrel Wilson,/user/darrel-wilson-2/
2375410.0,AWS Administration - MasterClass!,True,124.99,"Techniques all AWS administrators want in their toolbox: Management tools in AWS with networking, security & services",74.0,4.125,8.0,3.0,72.0,338.0,2019-05-22T21:35:55Z,2019-05-20,IT & Software,Network & Security,AWS CloudFormation,English,/course/aws-administration-masterclass/,Packt Publishing,/user/packtpublishing/
2375762.0,Word avanzado,True,29.99,Ofimática,45.0,3.7,13.0,2.0,39.0,307.0,2019-05-22T21:56:36Z,2019-05-20,Office Productivity,Microsoft,Microsoft Word,Spanish,/course/word-2016-avanzado/,Editorial Elearning,/user/editorial-elearning/
2375792.0,Prepare for your next job,True,39.99,For your better future  'कि त नयाँ कि त अहिले गरीरहेको भन्दा राम्रो जागिरको लागी ।',401.0,4.45,33.0,5.0,32.0,233.0,2020-05-05T20:17:02Z,2020-04-27,Personal Development,Career Development,Career Development,Nepali,/course/prepare-for-your-next-job/,RP Srijan,/user/rajendra-paudel-7/
2375722.0,Curso de introducción a Alexa en castellano,True,34.99,Sácale todo el partido a tu Amazon Alexa. Domótica para todos los públicos.,789.0,3.75,31.0,12.0,7.0,37.0,2019-06-05T00:57:29Z,2019-06-03,IT & Software,Hardware,Alexa Development,Spanish,/course/curso-de-introduccion-a-alexa-en-castellano/,Rafael Moreno,/user/rafael-moreno-chacon/
2375770.0,3ds max Corona Render Element Modulo 4,True,89.99,In questo Corso di Corona studieremo i Render Element e la Post Produzione in Photoshop,18.0,4.25,4.0,1.0,15.0,123.0,2019-05-21T09:37:50Z,2022-08-14,Design,3D & Animation,3ds Max,Italian,/course/3ds-max-corona-render-element/,Marcello Pattarin,/user/marcellopattarin/
2375760.0,Python数据分析与科学计算基础篇：Pandas图解；使抽象的数据具象为可触摸的图形；完成搜狐证券股票数据分析项目,True,99.99,Pandas图解，使抽象的数据具象为可触摸的图形，通过图解方法使这一过程变的一目了然、容易理解。最为完成项目：搜狐证券股票数据分析,61.0,4.45,11.0,3.0,67.0,435.0,2019-05-20T16:46:28Z,2019-05-20,Business,Business Analytics & Intelligence,Pandas,Simplified Chinese,/course/pythonpandas/,东升 关,/user/guan-dong-sheng/
2375818.0,Metaphysics 101,True,29.99,The best way to learn the practical application of Meditation to improve your life.,35.0,4.5625,8.0,3.0,33.0,60.0,2019-06-13T18:31:26Z,2019-06-11,Lifestyle,Esoteric Practices,Meditation,English,/course/metaphysics-101/,"Tyron Bowes, B.Msc.",/user/tyron-bowes-bmsc/
2375536.0,Guide to Powershell 6 and Automating Active Directory,True,199.99,Use PowerShell for Active Directory to eliminate manual task with quick automation tasks and functions,283.0,4.25,27.0,3.0,68.0,386.0,2019-05-22T21:36:54Z,2019-05-21,Development,Database Design & Development,PowerShell,English,/course/guide-to-powershell-6-and-automating-active-directory/,Packt Publishing,/user/packtpublishing/
2375588.0,Full Stack Isomorphic JavaScript with Vue.js & Node.js,True,199.99,"Learn to build isomorphic JavaScript web applications using MEVN Stack - MongoDB, Express, Vue.js, and Node.js",283.0,4.4,62.0,14.0,64.0,333.0,2019-05-21T20:25:25Z,2019-05-22,Development,Web Development,Full Stack Web Development,English,/course/full-stack-isomorphic-javascript-with-vuejs-nodejs/,Packt Publishing,/user/packtpublishing/
2375848.0,Access avanzado,True,29.99,Ofimática,40.0,3.2,10.0,2.0,45.0,402.0,2019-05-22T22:20:07Z,2019-05-20,Office Productivity,Microsoft,Microsoft Access,Spanish,/course/access-2016-avanzado/,Editorial Elearning,/user/editorial-elearning/
2375826.0,Excel de A à Z - Cours Complet - de Débutant à Expert,True,199.99,Maitrisez Microsoft Excel de A à Z par la Pratique !,2818.0,4.5707545,326.0,95.0,96.0,412.0,2021-09-14T17:31:48Z,2022-08-19,Office Productivity,Microsoft,Excel,French,/course/excel-de-a-a-z-cours-complet-excel-de-debutant-a-expert/,Zakariyaa ISMAILI,/user/zakariyaa-ismaili/
2375786.0,Intro to Digital Sculpting with Sculptris,True,19.99,Learn 3D Sculpting,64.0,4.7,5.0,1.0,25.0,100.0,2019-05-22T21:30:35Z,2019-05-20,Design,3D & Animation,3D Sculpting,English,/course/intro-to-digital-sculpting-with-sculptris/,Pierre Sketchzombie Rogers,/user/pierresketchzombierogers/
2375660.0,Rapid Spring Application Development with Spring Boot 2,True,199.99,Learn how to create enterprise-ready Java applications using Spring Framework from scratch with Spring Boot 2,58.0,4.142857,7.0,0.0,75.0,394.0,2019-05-21T21:21:07Z,2019-05-22,Development,Web Development,Spring MVC,English,/course/rapid-spring-application-development-with-spring-boot-2/,Packt Publishing,/user/packtpublishing/
2375494.0,Microservices and Cloud-Native Apps Development from Scratch,True,199.99,A comprehensive guide to becoming an expert in the Spring Framework,39.0,3.1666667,3.0,2.0,82.0,542.0,2019-05-22T21:28:48Z,2019-05-21,Development,Programming Languages,Spring Cloud,English,/course/microservices-and-cloud-native-apps-development-from-scratch/,Packt Publishing,/user/packtpublishing/
2375852.0,Photoshop CC - Pack E-commerce - Préparez vos visuels,True,59.99,Vendre/communiquer sur internet pour promouvoir des produits ou services E-commerce?  Apprenez à les mettre en valeur.,355.0,4.05,56.0,17.0,101.0,242.0,2019-06-07T18:37:06Z,2020-09-15,Design,Graphic Design & Illustration,Photoshop,French,/course/pack-e-commerce-preparez-vos-visuels-avec-photoshop-cc/,ROMAIN DUCLOS,/user/romain-duclos/
2375834.0,Formation complète Illustrator CC2019 à CC2022 (oct 2021),True,49.99,La formation tous niveaux de l'initiation à l'expert,440.0,4.766667,96.0,24.0,238.0,630.0,2019-05-21T20:58:18Z,2022-01-05,Design,Graphic Design & Illustration,Adobe Illustrator,French,/course/formation-complete-illustrator-cc2019/,Malko Pouchin,/user/malko-pouchin/
2375896.0,Watercolor Expression. Tulips Variations. (English),True,129.99,Four different pictures with special watercolor effects based on the character of the watercolor paper.,97.0,4.8,21.0,7.0,9.0,77.0,2019-05-23T13:58:24Z,2019-05-21,Lifestyle,Arts & Crafts,Watercolor Painting,English,/course/watercolor-expression-tulips-variations-english/,Inna Pavlecka-Tumarkin,/user/inna-pavlecka/
2375856.0,The Complete Agile Scrum Product Owner Masterclass,True,99.99,"How to Plan, Build & Launch your Digital Products as an Agile Product Owner",989.0,3.95,350.0,57.0,30.0,90.0,2020-01-09T19:44:17Z,2020-02-18,Business,Project Management,Product Owner,English,/course/professional-scrum-product-owner/,Danny Liu,/user/danny-liu-6/
2375840.0,How To Make A Real Estate Website With WordPress,True,19.99,Do You want to create your own real estate website with WordPress? I will show you how with NO EXPERIENCE!,4149.0,4.0,44.0,14.0,12.0,101.0,2019-05-26T20:30:51Z,2019-12-02,Development,Web Development,WordPress,English,/course/how-to-make-a-real-estate-website-with-wordpress/,Darrel Wilson,/user/darrel-wilson-2/
