id,title,is_paid,price,headline,num_subscribers,avg_rating,num_reviews,num_comments,num_lectures,content_length_min,published_time,last_update_date,category,subcategory,topic,language,course_url,instructor_name,instructor_url
462620.0,Become QlikView Designer from Scratch,True,19.99,Learn step-by-step to create a QlikView application with visualization best practices,4376.0,4.1,651.0,148.0,43.0,346.0,2015-07-16T20:56:50Z,2017-08-06,Business,Business Analytics & Intelligence,Qlikview,English,/course/become-qlikview-designer-from-scratch/,Shilpan Patel,/user/shilpan/
462646.0,Mas alla de la Ley de Atraccion,True,94.99,Los Secretos Revelados que el Secreto no te Conto,141.0,4.8,22.0,8.0,24.0,163.0,2015-08-24T18:56:36Z,2019-09-02,Personal Development,Personal Transformation,Manifestation and Law of Attraction,Spanish,/course/manifestacion-ilimitada/,Noah Heissen (The Master),/user/noefreites/
462608.0,Remove Fear Of Height Now Using NLP Techniques,True,89.99,Remove Fear Of Height Now Using NLP Techniques which are simple and powerful to increase confidence and relax instantly,1619.0,4.15,13.0,4.0,8.0,40.0,2015-03-31T17:54:48Z,2015-03-30,Personal Development,Personal Transformation,Fear,English,/course/remove-fear-of-height-now-using-nlp-techniques/,Pradeep Aggarwal,/user/pradeepaggarwal/
462912.0,Social Media Marketing: Acquire Leads with Facebook Ads,True,19.99,"Discover how to advertise your business to highly targeted customers on Facebook, at the lowest possible cost",1168.0,4.5,14.0,10.0,31.0,138.0,2015-04-06T23:49:27Z,2015-04-03,Marketing,Paid Advertising,Facebook Ads,English,/course/facebook-ads-how-i-get-cheap-leads-on-facebook/,Lauren Lambie,/user/laurenlambie/
462624.0,Aprende Edge Animate sin sufrimiento,True,379.0,La herramienta fundamental para el diseño Web de animaciones para navegadores modernos.,342.0,4.4,13.0,5.0,42.0,247.0,2015-04-02T20:41:35Z,2015-04-02,Design,Web Design,Edge Animate,Spanish,/course/aprende-edge-animate-sin-sufrimiento/,Francisco Javier Arce Anguiano,/user/franciscojavierarceanguiano/
462452.0,Intro to Design Thinking: Innovation Strategy for Business,True,34.99,Innovation toolkit based on design thinking principals and real-world cases to bring out the creative genius in you!,1260.0,3.2,19.0,7.0,29.0,60.0,2015-06-22T21:04:09Z,2018-07-01,Business,Business Strategy,Design Thinking,English,/course/design-thinking-innovation-strategy-for-business-people-jeannie-chan/,Jeannie Chan,/user/jeanniechan/
462716.0,微積分-基礎數學篇 Calculus-Basic Math,False,0.0,本單元包含下列數學內容，都是學習微積分必要的基礎數學內容。1. 數系及集合的介紹2. 函數的定義：包含合成函數、反函數3. 各種常用的函數：包含高斯函數、絕對值函數4. 二元一次方程式與直線方程式,4562.0,4.85,300.0,47.0,51.0,135.0,2015-04-01T18:11:54Z,2015-03-30,Teaching & Academics,Math,Calculus,Traditional Chinese,/course/calculus-basic-math/,Lee Bor-Jian,/user/e3inqhwawxzw/
462954.0,Entrepreneurs: Boost Your Productivity In 15 Simple Steps,True,189.99,"Entrepreneurs, boost your concentration, memory, energy, and beat procrastination; boost performance and well-being ",1286.0,4.65,13.0,5.0,22.0,226.0,2015-04-25T00:28:35Z,2015-05-31,Business,Entrepreneurship,Entrepreneurship Fundamentals,English,/course/from-frantic-to-flowing-15-step-productivity-booster/,Christine Baker,/user/christinebaker6/
463294.0,Anatomy of Digital Photography,True,19.99,"Looking at the fundamentals of digital photography, exploring the camera, lenses and lighting.",1322.0,4.571429,7.0,5.0,27.0,62.0,2015-04-21T22:47:34Z,2015-09-22,Photography & Video,Digital Photography,Digital Photography,English,/course/anatomy-of-digital-photography/,George Kingsnorth,/user/georgekingsnorth/
463378.0,Decoding the Flying Stars in Feng Shui-Go Behind the Scenes,True,19.99,Delight in Your Better Fortune With Decorating Secrets to Perfect Your Home and Office,160.0,4.7,36.0,14.0,5.0,34.0,2015-11-11T21:07:43Z,2015-11-12,Lifestyle,Home Improvement & Gardening,Feng Shui,English,/course/decoding-the-flying-stars-in-traditional-feng-shui/,Eva Bogard,/user/54b6e845046a8/
